nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
Dra. Gabrielly das Neves,890.137.254-14,59,23/06/1964,"Campo de Sales, 132
Itatiaia
48841-439 Martins Grande / RS",Mato Grosso do Sul,Brasil,6624.95,Ensino Médio,1,Solteiro,9,Comércio
Laís Peixoto,936.702.854-74,60,18/06/1963,"Setor Ramos, 818
Universitário
55097-753 Sales do Oeste / GO",Roraima,Brasil,5311.32,Ensino Médio,3,Casado,16,Comércio
Sra. Mariana Azevedo,302.816.495-70,50,27/01/1974,"Campo Rezende, 34
Maria Tereza
28160303 da Paz / PE",São Paulo,Brasil,20878.3,Ensino Superior,1,Solteiro,26,Tecnologia
Diego Silva,310.752.694-07,57,01/05/1966,"Colônia Vitor Hugo Lima, 25
Fazendinha
66219-632 Gonçalves / PB",Tocantins,Brasil,7733.61,Ensino Médio,1,Casado,31,Saúde
Luana Teixeira,328.547.069-00,26,17/05/1997,"Alameda de Santos, 4
Vista Alegre
80514068 Novaes / RJ",Roraima,Brasil,8733.15,Ensino Superior,0,Solteiro,5,Tecnologia
Lucca Costa,568.741.932-28,32,21/01/1992,"Parque Rezende, 62
Vila Jardim Leblon
69802-417 Teixeira / RN",São Paulo,Brasil,4038.98,Ensino Médio,3,Casado,10,Saúde
Kamilly Fogaça,570.469.183-84,19,07/09/2004,"Estação Theo Farias, 93
Alto Das Antenas
40953360 Azevedo / SP",Goiás,Brasil,6195.5,Ensino Superior,0,Divorciado,1,Tecnologia
Srta. Laura da Cruz,736.915.408-48,18,24/10/2005,"Pátio de Silva, 3
Vila Madre Gertrudes 1ª Seção
20753946 Duarte / RO",Goiás,Brasil,8586.89,Pós-graduação,0,Casado,0,Educação
Emilly Rocha,279.163.805-95,54,02/09/1969,"Trevo Marcelo Monteiro, 2
Vila Nova Dos Milionarios
26567-105 Pereira do Campo / AC",Sergipe,Brasil,11358.91,Ensino Superior,0,Casado,24,Comércio
Maria Fernanda Melo,605.173.294-25,49,12/12/1974,"Viaduto Viana, 42
Das Industrias I
41550720 Rocha da Prata / TO",Paraíba,Brasil,5783.06,Ensino Superior,0,Solteiro,1,Comércio
Dra. Julia Porto,376.592.018-59,65,19/07/1958,"Estação Moura, 893
Bacurau
99985500 Moreira Grande / MT",Mato Grosso do Sul,Brasil,14797.65,Pós-graduação,0,Solteiro,8,Comércio
Carolina Pires,085.413.672-07,55,19/12/1968,"Largo Cardoso, 35
Nova America
92885-708 Cardoso / DF",Amazonas,Brasil,11319.33,Ensino Superior,1,Casado,37,Indústria
Renan da Mota,925.634.701-61,29,22/02/1995,"Avenida de Peixoto, 12
São José
06029409 Lopes / GO",Minas Gerais,Brasil,4043.28,Ensino Fundamental,0,Casado,5,Indústria
Maria Fernanda Azevedo,634.291.750-70,56,08/11/1967,"Viaduto Mirella Moraes, 40
Funcionários
07388504 Sales / AM",Espírito Santo,Brasil,6496.34,Ensino Superior,1,Solteiro,34,Educação
Raquel Ribeiro,301.546.782-44,33,24/12/1990,"Rua Emanuelly Moraes, 737
Buritis
72875-394 Gonçalves / RS",Tocantins,Brasil,3756.43,Ensino Médio,0,Casado,14,Educação
Eduardo Ramos,419.753.628-37,46,19/05/1977,"Alameda da Rocha, 89
Conjunto Bonsucesso
90011551 Costa / ES",Amazonas,Brasil,4733.64,Ensino Fundamental,0,Solteiro,24,Tecnologia
Lara Novaes,607.139.285-30,31,07/10/1992,"Passarela Bárbara da Rosa, 264
Vila Dos Anjos
60309394 Costa do Sul / ES",Roraima,Brasil,6936.72,Ensino Médio,1,Casado,3,Tecnologia
Rebeca Melo,315.780.269-03,65,05/03/1959,"Largo de Teixeira, 88
Novo Santa Cecilia
74783714 Cardoso / RO",Amapá,Brasil,5745.93,Ensino Médio,1,Casado,12,Educação
Luiz Otávio da Conceição,374.165.920-70,41,04/12/1982,"Vila de Almeida, 6
São Bento
85616-684 Moreira / ES",Pernambuco,Brasil,20271.15,Pós-graduação,1,Casado,23,Saúde
Sr. Eduardo Sales,429.365.018-06,62,11/01/1962,"Distrito de da Costa, 566
Cônego Pinheiro 2ª Seção
56270-151 Campos / CE",Minas Gerais,Brasil,6497.56,Ensino Médio,0,Viúvo,11,Comércio
Srta. Maria Vitória Oliveira,920.751.364-16,23,27/12/2000,"Aeroporto Juliana Cavalcanti, 61
Mineirão
53042724 Santos / SP",Sergipe,Brasil,6375.04,Ensino Médio,2,Divorciado,2,Comércio
Theo Oliveira,315.276.098-12,35,25/09/1988,"Praia de Barros, 11
Nossa Senhora Aparecida
14737945 da Conceição de Viana / RJ",Mato Grosso do Sul,Brasil,4741.46,Ensino Fundamental,0,Casado,15,Educação
Isaac Castro,537.602.814-35,82,15/12/1941,"Alameda Ferreira, 35
Sport Club
35967-472 Barros do Sul / ES",Alagoas,Brasil,,Ensino Superior,0,Casado,24,Comércio
Daniel Moura,510.398.426-15,31,28/05/1992,"Setor Júlia Ribeiro, 1
Venda Nova
92441-646 Campos / SE",Pará,Brasil,5781.64,Ensino Fundamental,0,Casado,8,Tecnologia
Leonardo Santos,298.016.754-11,34,05/06/1989,"Favela Cardoso, 9
Renascença
99792-761 Melo / MG",Santa Catarina,Brasil,,Ensino Médio,1,Solteiro,7,Tecnologia
Maysa Teixeira,169.587.342-46,25,05/06/1998,"Via Correia, 92
Cinquentenário
58605792 Nascimento / RR",,Brasil,11693.26,Pós-graduação,2,Divorciado,3,Educação
Evelyn Pires,915.674.820-58,28,23/03/1996,"Via Alice Caldeira, 303
Conjunto Celso Machado
97054355 da Luz do Oeste / GO",São Paulo,Brasil,,Ensino Médio,2,Casado,6,Saúde
Sra. Isis Costela,456.072.893-38,28,02/12/1995,"Quadra das Neves, 753
Europa
65452-678 Pinto do Norte / AC",,Brasil,10893.96,Ensino Superior,0,Casado,8,Indústria
Caio Lopes,769.408.321-22,27,26/07/1996,"Via Ribeiro, 549
Vila Barragem Santa Lúcia
37615187 Oliveira / AM",Rio de Janeiro,Brasil,2873.85,Ensino Fundamental,0,Casado,5,Educação
Maria Vitória Duarte,952.847.106-49,51,21/01/1973,"Rua de Ribeiro, 43
Vila Madre Gertrudes 4ª Seção
68416303 Cunha / BA",Espírito Santo,Brasil,12017.32,Ensino Médio,0,Solteiro,32,Indústria
Eduarda da Cunha,638.041.597-10,59,11/11/1964,"Colônia de Castro, 73
Conjunto Capitão Eduardo
83675-470 Nunes da Praia / AP",,Brasil,,,0,,23,
Dra. Olivia Cardoso,403.279.615-70,61,22/07/1962,"Vila Santos, 7
Nova Gameleira
96068220 Gomes Alegre / CE",Distrito Federal,Brasil,12762.73,Ensino Médio,0,Casado,39,Educação
João Lucas Caldeira,795.428.163-91,65,25/10/1958,"Viela de Nascimento, 91
Vila De Sá
82144433 Cardoso / AM",Pernambuco,Brasil,6254.84,Ensino Médio,0,Solteiro,30,Comércio
Pedro Lucas Jesus,319.250.648-24,20,02/02/2004,"Trevo de Vieira
Virgínia
49899571 da Rocha do Sul / AP",Goiás,Brasil,4137.65,Ensino Médio,0,Solteiro,1,Educação
Dra. Bárbara Viana,179.426.305-52,18,05/01/2006,"Fazenda Silva, 45
Itapoa
45906-606 Nunes / MT",Mato Grosso,Brasil,8859.41,Ensino Superior,1,Solteiro,0,Tecnologia
Pedro Miguel Ramos,190.238.547-05,49,03/01/1975,"Recanto Rafael Campos
Bacurau
17607018 Santos Verde / PR",Alagoas,Brasil,6939.61,Ensino Médio,3,Viúvo,7,Tecnologia
Benjamin Nunes,834.159.062-05,18,12/06/2005,"Condomínio Pedro Henrique Freitas, 8
Mirante
57589-151 da Luz da Prata / RJ",Rio de Janeiro,Brasil,6023.67,Ensino Médio,1,Casado,0,Comércio
Juliana Pinto,357.492.160-80,43,23/10/1980,"Distrito Enzo da Mota, 93
Maravilha
29114-123 Viana das Flores / PI",Piauí,Brasil,6677.24,Ensino Médio,1,Casado,25,Saúde
Dr. Diogo Cardoso,478.960.215-01,46,16/09/1977,"Favela de Peixoto, 55
Etelvina Carneiro
71554229 da Costa das Flores / AL",Pernambuco,Brasil,7704.11,Ensino Médio,3,Casado,10,Tecnologia
Cauã Gonçalves,638.517.294-55,38,10/08/1985,"Chácara Daniel Freitas
Lindéia
86607815 Souza / SE",Rio Grande do Sul,Brasil,3340.6,Ensino Médio,1,Casado,13,Educação
Nicole Souza,510.389.274-04,53,14/02/1971,"Rodovia de Melo, 34
Grajaú
22586-474 Porto / SC",Amapá,Brasil,5853.17,Ensino Fundamental,3,Casado,15,Indústria
Henrique Gomes,068.492.137-50,38,03/06/1985,"Trecho Raul Silva, 4
São Benedito
82638-379 Freitas / BA",Rio Grande do Sul,Brasil,4518.2,Ensino Fundamental,1,Casado,13,Educação
Manuela Cavalcanti,176.925.804-30,64,05/11/1959,"Aeroporto de Melo, 45
Dom Bosco
38887592 Ramos de Azevedo / ES",Rondônia,Brasil,,Ensino Superior,0,Casado,6,Indústria
Sra. Ana Vitória Rezende,687.541.930-01,55,22/08/1968,"Feira Aragão, 2
Santo Agostinho
49369-871 Melo / RS",,Brasil,2916.47,Ensino Médio,0,Casado,9,Educação
Ana Júlia Caldeira,845.721.096-30,44,21/08/1979,"Esplanada Laís das Neves, 88
Granja Werneck
51981-467 Souza de Minas / RJ",Acre,Brasil,5090.38,Ensino Médio,0,Solteiro,15,Educação
Dra. Juliana da Conceição,734.608.152-80,28,23/11/1995,"Trecho Nogueira, 38
Embaúbas
06838-168 Vieira / GO",Distrito Federal,Brasil,3007.7,Ensino Médio,1,Solteiro,10,Indústria
Helena Fernandes,081.795.463-57,26,16/07/1997,"Núcleo Costela, 27
Silveira
11941-203 Oliveira de Goiás / PE",Rondônia,Brasil,7029.25,Ensino Médio,1,Casado,7,Saúde
Dr. Vitor Hugo Cunha,807.359.412-97,26,15/01/1998,"Vale Oliveira, 9
Nova Gameleira
17413-147 da Luz da Serra / AM",Rio Grande do Norte,Brasil,8358.36,Ensino Superior,2,Casado,2,Indústria
Sr. Vicente Vieira,074.698.523-10,35,02/09/1988,"Esplanada Diogo Pires
Dom Bosco
67915707 Novaes / SP",Ceará,Brasil,11962.11,Ensino Superior,3,Casado,5,Saúde
Danilo Martins,632.794.581-37,26,07/12/1997,"Loteamento de da Mota, 15
Camargos
03310-300 Campos / RJ",Maranhão,Brasil,4188.38,Ensino Superior,2,Casado,2,Indústria
Sophie Monteiro,930.675.428-00,27,12/11/1996,"Praça Araújo, 87
São Marcos
49026897 Fernandes de Martins / PA",Amapá,Brasil,2998.84,Ensino Médio,0,Solteiro,2,Indústria
Stephany da Mota,364.128.759-64,54,13/07/1969,"Colônia Luigi Azevedo, 953
Vila Piratininga
80670-786 da Paz do Sul / SC",Bahia,Brasil,9078.37,Ensino Médio,2,Divorciado,36,Educação
Maria Sophia da Conceição,124.083.957-04,43,25/10/1980,"Alameda Luiz Otávio Alves, 15
Alípio De Melo
34217-995 Alves / AC",Mato Grosso,Brasil,4130.63,Ensino Médio,0,Solteiro,3,Indústria
Ana Júlia Rezende,793.564.182-09,39,14/10/1984,"Morro Maria Alice Martins, 31
Vila Batik
84779-650 Fogaça Alegre / RN",Rio de Janeiro,Brasil,5788.83,Ensino Médio,1,Casado,7,Indústria
Davi Lucca Rodrigues,504.368.972-29,20,20/04/2003,"Estrada de Castro, 5
Vila Petropolis
21567448 Novaes de Campos / PA",Rio de Janeiro,Brasil,2580.89,Ensino Fundamental,0,Casado,0,Tecnologia
Cauã Mendes,278.190.643-31,28,06/12/1995,"Lagoa Letícia Duarte, 59
Aparecida 7ª Seção
70798-903 Azevedo / AL",Alagoas,Brasil,5797.8,Ensino Médio,1,Casado,3,Indústria
Diego da Cruz,914.673.502-06,46,09/06/1977,"Jardim Ramos
Jardim Vitoria
89126-286 Pinto / AM",Ceará,Brasil,8975.83,Ensino Médio,3,Casado,24,Tecnologia
Isis Cunha,524.167.803-44,49,20/07/1974,"Lago Erick Peixoto, 42
Anchieta
59121437 Rodrigues das Pedras / DF",Rio de Janeiro,Brasil,5347.72,Ensino Médio,0,Casado,11,Comércio
João Felipe Melo,268.143.750-44,31,30/07/1992,"Vale Silva, 45
Vila Tirol
44166-564 Jesus / BA",Distrito Federal,Brasil,5760.45,Ensino Médio,0,Casado,2,Indústria
Alexia Sales,159.706.423-80,41,06/07/1982,"Feira Marcos Vinicius Costela, 19
Vila Inestan
20519213 Cardoso do Amparo / MT",Santa Catarina,Brasil,7468.27,Ensino Médio,1,Casado,2,Tecnologia
Theo Vieira,581.267.493-00,21,09/05/2002,"Jardim Elisa Gonçalves, 75
Alto Caiçaras
60408-423 Novaes da Mata / RJ",Pará,Brasil,10384.28,Ensino Superior,0,Divorciado,2,Tecnologia
Dra. Sabrina Gonçalves,291.036.574-34,35,20/10/1988,"Alameda de Moreira
Vila São Rafael
27692050 Correia / MG",Rio Grande do Sul,Brasil,13976.59,Ensino Superior,2,Casado,13,Saúde
João Guilherme Rocha,712.689.435-09,23,25/12/2000,"Vila de da Mota, 4
Mantiqueira
86448-436 Nunes / PI",Pará,Brasil,6765.29,Ensino Médio,3,Casado,1,Tecnologia
Isis da Cunha,305.276.819-03,64,01/08/1959,"Ladeira de Monteiro, 6
Conjunto Jatoba
93915-855 Fogaça do Norte / MS",Espírito Santo,Brasil,8627.29,Ensino Médio,1,Divorciado,8,Indústria
Isabella Cardoso,169.425.837-82,24,17/07/1999,"Conjunto Maria Julia Monteiro, 16
Savassi
57052306 Silva do Oeste / MA",Rondônia,Brasil,4656.72,Ensino Superior,2,Divorciado,1,Indústria
Dr. Luiz Felipe Campos,761.054.932-07,37,23/08/1986,"Vereda Ian Nogueira, 6
Luxemburgo
20816756 Costela de Pinto / ES",,Brasil,4851.89,Ensino Médio,0,Solteiro,11,Educação
Ana Lívia Mendes,697.301.425-99,86,04/05/1937,"Aeroporto de Moreira, 5
Dom Bosco
13784-494 da Rocha do Campo / TO",Pará,Brasil,3287.72,Ensino Médio,3,Casado,47,Comércio
Clarice Cavalcanti,413.785.960-48,53,23/04/1970,"Feira Rocha, 32
Trevo
66009808 Souza do Sul / SP",Alagoas,Brasil,3142.49,Ensino Fundamental,2,Casado,27,Comércio
Helena Pires,189.046.572-02,32,07/03/1992,"Passarela Gabrielly da Mota, 46
Nova Cachoeirinha
02587496 da Conceição / AL",Acre,Brasil,5355.19,Ensino Médio,0,Casado,0,Saúde
João Felipe Ferreira,072.843.159-97,50,21/12/1973,"Rodovia de da Rosa, 63
Flavio Marques Lisboa
71178-746 Cunha / AC",Goiás,Brasil,8698.88,Ensino Médio,0,Casado,30,Educação
Carolina Silva,602.497.583-00,25,05/10/1998,"Esplanada Sarah Cunha, 92
Acaba Mundo
87272-093 Cardoso da Mata / AM",Maranhão,Brasil,5262.53,Ensino Médio,0,Solteiro,4,Educação
Pedro Lucas Araújo,812.536.479-09,46,24/11/1977,"Recanto Carlos Eduardo Almeida
Acaba Mundo
97282561 Novaes / AC",Minas Gerais,Brasil,4857.21,Ensino Médio,1,Casado,27,Indústria
Srta. Heloísa da Conceição,628.950.417-76,59,19/10/1964,"Via de Nunes, 18
Alpes
47868792 Pires da Mata / PE",Distrito Federal,Brasil,11725.02,Ensino Médio,5,Casado,29,Educação
Melissa Aragão,652.374.019-61,34,29/03/1990,"Distrito de Rodrigues
Céu Azul
13517880 Nunes / CE",Paraíba,Brasil,4818.98,,1,,8,
Dra. Emanuelly Silveira,036.941.528-06,23,24/05/2000,"Praia de Porto
Jardim Felicidade
61438536 Gonçalves da Prata / DF",Sergipe,Brasil,12930.49,Pós-graduação,3,Solteiro,5,Tecnologia
Ana Laura Farias,708.516.943-57,18,12/09/2005,"Praia de Dias
Caetano Furquim
79038114 da Rosa / DF",Piauí,Brasil,4559.56,Ensino Médio,0,Casado,0,Saúde
Maria Julia da Luz,516.043.827-08,60,15/02/1964,"Praça Paulo Cunha
Ouro Minas
14739-885 Araújo de da Cruz / AP",Paraná,Brasil,20762.58,Ensino Superior,0,Viúvo,30,Tecnologia
Dr. Rafael da Mata,925.713.860-77,50,14/01/1974,"Passarela de Carvalho, 615
Jardim Felicidade
85258041 Porto / TO",Rondônia,Brasil,8697.84,Ensino Médio,0,Casado,26,Saúde
Sr. Emanuel Vieira,076.394.281-22,49,23/08/1974,"Praça de Novaes, 14
São Vicente
79772743 Farias / RS",Acre,Brasil,9124.9,Ensino Fundamental,2,Casado,29,Tecnologia
Carlos Eduardo Rezende,137.526.890-21,18,03/05/2005,"Rodovia Daniela Martins
Santa Inês
09187757 Melo da Mata / SP",Paraná,Brasil,3835.25,Ensino Fundamental,0,Casado,0,Tecnologia
Mariana Sales,641.359.807-75,41,24/01/1983,"Sítio da Conceição, 95
Mineirão
76831-432 Caldeira da Serra / MA",Piauí,Brasil,5402.88,Ensino Médio,1,Casado,19,Indústria
Leandro Sales,576.109.283-21,40,20/03/1984,"Largo Peixoto, 219
Custodinha
47783922 Mendes do Sul / MS",Minas Gerais,Brasil,3113.21,Ensino Médio,2,Casado,8,Comércio
Raul Sales,923.847.560-10,47,27/09/1976,"Feira da Mota, 36
Mangabeiras
45315-199 Monteiro da Mata / SP",Bahia,Brasil,4107.17,Ensino Fundamental,0,Casado,15,Educação
Thiago Porto,184.670.235-62,26,04/10/1997,"Colônia João Gabriel Martins, 79
Universo
55924-466 Cardoso / MT",Paraíba,Brasil,10687.25,Pós-graduação,2,Casado,1,Educação
Sra. Catarina Cavalcanti,781.062.394-03,49,07/03/1975,"Condomínio Juan Fogaça, 2
Conjunto Santa Maria
85840204 Silva / AM",Pará,Brasil,6937.27,Ensino Médio,1,Casado,5,Comércio
Enrico Carvalho,560.724.938-74,27,13/05/1996,"Setor Nathan Gomes, 78
Carmo
15859040 Monteiro da Prata / PR",Mato Grosso,Brasil,2009.72,Ensino Fundamental,0,Solteiro,6,Indústria
João Gabriel das Neves,653.218.049-15,62,21/12/1961,"Campo Azevedo
Cachoeirinha
51915-476 Santos / BA",Amazonas,Brasil,8706.64,Ensino Médio,1,Casado,41,Educação
Sr. Yuri da Luz,012.763.894-69,39,30/01/1985,"Rua Carvalho, 9
Santo Antônio
16051071 Peixoto / AL",Amapá,Brasil,6368.35,Ensino Médio,0,Casado,17,Educação
Luiza Santos,319.027.854-79,21,09/06/2002,"Largo de Vieira, 7
Nova Granada
52848-755 Almeida / AC",,Brasil,6160.94,Ensino Superior,0,Divorciado,0,Comércio
Larissa Souza,826.901.354-42,58,25/09/1965,"Loteamento Davi Luiz Moura, 136
Padre Eustáquio
85408-454 da Cunha do Oeste / TO",Amazonas,Brasil,22096.26,Ensino Superior,0,Solteiro,24,Tecnologia
Bianca Ribeiro,951.824.376-09,46,18/06/1977,"Aeroporto Costa, 57
Nossa Senhora De Fátima
60588983 Lima / PA",Mato Grosso do Sul,Brasil,4339.18,Ensino Médio,0,Casado,17,Indústria
Maria Alice da Rocha,183.957.620-03,31,07/01/1993,"Área Nascimento
Piraja
19801-797 Melo do Galho / SP",Distrito Federal,Brasil,4780.58,Ensino Médio,0,Casado,4,Comércio
Vitor Gabriel Azevedo,429.518.376-82,27,05/09/1996,"Vale de Pereira, 47
Jonas Veiga
26299937 Dias de da Mata / MG",Goiás,Brasil,5920.32,Pós-graduação,0,Solteiro,7,Indústria
Lorenzo da Costa,075.283.149-60,61,18/02/1963,"Feira da Conceição, 3
São Cristóvão
80527147 Araújo / RR",Santa Catarina,Brasil,4891.06,,0,,7,
Stella Jesus,610.249.385-06,46,29/10/1977,"Vila Mariana Cavalcanti, 4
São Jorge 2ª Seção
27614852 Mendes / AC",Mato Grosso do Sul,Brasil,5986.26,Ensino Superior,0,Casado,17,Saúde
Sabrina Dias,081.239.476-31,50,27/12/1973,"Quadra de Pinto, 96
Vila Madre Gertrudes 2ª Seção
89287-961 Cardoso da Serra / RN",Amapá,Brasil,6985.7,Ensino Fundamental,0,Casado,32,Saúde
Stephany Farias,720.819.534-04,32,01/03/1992,"Lago da Rosa, 44
Vila Real 1ª Seção
70551395 Farias / RO",Amazonas,Brasil,3204.18,Ensino Médio,1,Casado,8,Comércio
Samuel Monteiro,817.349.026-04,19,04/12/2004,"Setor Duarte, 11
Acaba Mundo
32777-973 Oliveira / AM",São Paulo,Brasil,4434.43,Ensino Superior,0,Casado,0,Comércio
Anthony Ramos,592.671.340-43,28,12/11/1995,"Travessa Ramos, 379
Conjunto Serra Verde
65909454 Farias de da Rosa / CE",Distrito Federal,Brasil,4551.59,Ensino Superior,5,Casado,8,Indústria
Dr. João Lucas Lopes,651.478.032-62,26,01/12/1997,"Estrada de Moraes, 311
Fazendinha
54177293 Costela / MT",Minas Gerais,Brasil,1973.49,Ensino Fundamental,1,Casado,2,Comércio
Enrico Ribeiro,654.087.391-39,20,29/04/2003,"Travessa Cauã Ferreira, 56
Serra Verde
68667534 Cardoso / AP",Tocantins,Brasil,4699.0,Ensino Superior,0,Casado,0,Comércio
Agatha Pinto,260.198.357-40,37,10/11/1986,"Feira Luiz Felipe Moraes, 534
Independência
25391360 Mendes de Minas / MG",Mato Grosso,Brasil,3186.17,Ensino Fundamental,0,Casado,12,Indústria
Dr. Luiz Felipe Barbosa,423.068.179-87,19,31/10/2004,"Via Ana Vitória Porto, 501
Vitoria Da Conquista
92712592 Lima do Norte / PB",Rio de Janeiro,Brasil,4498.48,Ensino Médio,1,Casado,0,Tecnologia
Guilherme Jesus,476.395.021-52,42,08/09/1981,"Praia Erick da Rosa, 1
Flavio Marques Lisboa
81660683 Fogaça Grande / SP",Ceará,Brasil,10864.79,Ensino Superior,0,Solteiro,6,Saúde
Yasmin Aragão,743.106.892-13,40,18/02/1984,"Recanto Júlia Gomes, 43
Buritis
54328-011 Viana de Cardoso / PA",Espírito Santo,Brasil,1957.0,Ensino Fundamental,1,Divorciado,4,Indústria
Guilherme Duarte,390.541.628-05,22,15/11/2001,"Viaduto de Carvalho, 67
Prado
85013-266 Freitas Alegre / AL",Pará,Brasil,2553.2,Ensino Fundamental,1,Solteiro,3,Saúde
Joana da Conceição,487.529.013-60,29,30/04/1994,"Setor da Mata, 88
Dom Joaquim
41902475 Silveira de Ramos / DF",Amazonas,Brasil,4571.17,Ensino Fundamental,0,Casado,10,Indústria
Yago Cavalcanti,928.564.371-09,39,06/11/1984,"Via Rocha, 6
Teixeira Dias
77969-444 da Luz / RR",Bahia,Brasil,6750.38,Ensino Médio,1,Solteiro,16,Comércio
Olivia Rodrigues,371.496.028-78,36,06/02/1988,"Recanto de Ferreira, 27
Inconfidência
10445-849 da Cunha dos Dourados / RO",Mato Grosso,Brasil,10371.68,Ensino Médio,1,Solteiro,16,Tecnologia
João Gabriel Lopes,326.509.781-12,40,24/02/1984,"Recanto Davi Lucas Viana, 804
Alto Vera Cruz
11189-008 Lima / AP",Bahia,Brasil,4414.59,Ensino Médio,0,Casado,17,Comércio
João Lucas Lopes,508.342.697-83,45,20/07/1978,"Avenida Otávio Fernandes, 89
Tupi A
73011-102 Costela / DF",Mato Grosso,Brasil,3978.18,Ensino Médio,0,Casado,3,Indústria
Lívia Pereira,912.605.438-89,19,30/07/2004,"Recanto Gabriel da Paz, 5
Serra Verde
11664010 Costela / MT",Amapá,Brasil,7285.73,Ensino Médio,2,Solteiro,0,Tecnologia
Sra. Eloah Azevedo,569.827.140-20,41,11/04/1983,"Distrito Gustavo Henrique Ribeiro, 21
Vila Inestan
86751082 Costela / RN",Bahia,Brasil,10163.0,Ensino Superior,1,Casado,7,Tecnologia
Alana Aragão,526.738.491-73,63,18/10/1960,"Favela Rodrigues, 67
Apolonia
27278902 da Cunha da Prata / MG",Espírito Santo,Brasil,11741.12,Ensino Médio,0,Solteiro,32,Comércio
Luiz Felipe Silva,468.579.102-94,47,10/09/1976,"Ladeira de Costela, 12
Antonio Ribeiro De Abreu 1ª Seção
59502062 Cunha / PI",Santa Catarina,Brasil,7616.23,Ensino Médio,2,Casado,6,Tecnologia
Cauê Porto,978.203.145-32,40,18/04/1983,"Viela de Peixoto, 25
Cidade Nova
35402348 Lopes / DF",Ceará,Brasil,7245.02,Ensino Médio,2,Casado,13,Indústria
Júlia da Luz,132.679.045-52,44,28/06/1979,"Passarela Diogo da Costa, 72
Mangueiras
63062276 da Cruz / MT",Pará,Brasil,3956.77,Ensino Médio,2,Casado,2,Saúde
Olivia Carvalho,062.713.594-34,24,28/03/2000,"Morro Kaique Aragão, 1
Santa Tereza
02384484 Peixoto / PR",São Paulo,Brasil,2818.05,Ensino Médio,0,Solteiro,4,Educação
Helena Santos,691.342.750-61,21,19/03/2003,"Rodovia de Cardoso, 96
São Cristóvão
66497-255 Melo / AM",Distrito Federal,Brasil,6994.27,Ensino Médio,0,Solteiro,0,Tecnologia
Sophie Barros,235.749.681-91,37,05/07/1986,"Residencial Diego Cavalcanti, 80
Corumbiara
29496-591 Mendes / GO",Paraíba,Brasil,3241.98,Ensino Fundamental,0,Casado,1,Tecnologia
Vitor Hugo Novaes,176.045.829-58,33,08/05/1990,"Estrada Rodrigues
São Vicente
19992-414 Jesus / AL",Amazonas,Brasil,3192.26,Ensino Médio,0,Casado,0,Comércio
Maria Barbosa,648.912.053-42,36,01/07/1987,"Via Maria Eduarda das Neves, 86
Vila Calafate
91778073 Peixoto / CE",Mato Grosso do Sul,Brasil,9277.31,Ensino Médio,0,Solteiro,4,Tecnologia
Heitor Rodrigues,016.284.395-05,22,09/05/2001,"Trecho Emilly Almeida, 1
Renascença
41292-879 Ramos do Galho / MG",Pará,Brasil,8239.3,Ensino Superior,2,Casado,1,Educação
Lavínia Cardoso,015.392.476-43,48,06/08/1975,"Ladeira João Miguel Costela, 222
Conjunto Santa Maria
85865217 Vieira de Alves / RJ",Ceará,Brasil,12471.76,Ensino Superior,0,Divorciado,13,Comércio
Gabriela Barros,271.980.465-76,74,03/05/1949,"Trecho de Viana, 35
Vila Batik
14587-460 Peixoto das Flores / ES",Santa Catarina,Brasil,3506.57,Ensino Médio,2,Viúvo,34,Tecnologia
Maria Sophia Nunes,391.682.754-55,65,19/07/1958,"Jardim de Azevedo, 93
Santa Helena
48728-953 Monteiro das Flores / ES",Piauí,Brasil,5649.26,Ensino Fundamental,1,Casado,18,Comércio
Giovanna Mendes,348.756.109-39,25,04/08/1998,"Distrito Sarah Cunha
Monte São José
84917-948 da Luz / MG",Alagoas,Brasil,8079.79,Ensino Superior,0,Solteiro,6,Indústria
Isabelly Moraes,647.015.289-94,46,07/04/1978,"Vila de Campos, 500
Tupi B
15916248 Teixeira da Mata / RR",Alagoas,Brasil,7339.78,Ensino Médio,0,Divorciado,7,Comércio
Srta. Alana da Rocha,518.970.264-20,38,28/09/1985,"Estação Luigi Fogaça, 89
Canaa
67991677 Pinto Paulista / RJ",Espírito Santo,Brasil,9897.9,Ensino Médio,0,Solteiro,12,Tecnologia
Ana Beatriz da Mota,935.016.482-51,20,26/07/2003,"Praia de Melo, 65
Ouro Minas
25958-780 Nunes / PI",Amazonas,Brasil,6414.9,Ensino Médio,0,Solteiro,1,Indústria
Sr. Gustavo Ramos,931.072.684-96,42,28/03/1982,"Núcleo da Rosa, 48
Tres Marias
03697-620 Barbosa / ES",Maranhão,Brasil,2661.92,Ensino Fundamental,3,Casado,22,Comércio
Sr. Davi Luiz da Cruz,287.419.503-05,22,19/12/2001,"Distrito Oliveira, 904
São Damião
78497922 Gomes do Campo / GO",Amapá,Brasil,3146.01,Ensino Médio,4,Casado,0,Tecnologia
Isaac Silveira,946.810.732-96,22,29/12/2001,"Quadra Pedro Henrique Almeida
Estoril
58451-894 Jesus do Amparo / RS",Alagoas,Brasil,11097.81,Ensino Superior,1,Casado,2,Tecnologia
